gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm
GHITM	-0.32921726	-0.33107674	-0.48781968280673	-0.162882485613227	1	0.000999000999000999	0.07698636	0.0126510092688221	FALSE	TRUE	TRUE	0.32921726	FALSE	-0.333348576614422	0.0769863567432433	-4.44233235464848	7.29730197586307e-05	0.0064797926385671	1.53391418027374	TRUE	TRUE	TRUE	TRUE	down
SEMA3F	0.25506988	0.2565862	0.10728108920157	0.397370084375143	0.999	0.002	0.0019257318	0.015846696449565	FALSE	TRUE	TRUE	0.25506988	TRUE	0.25146417029576	0.0019257258054054	4.43771450735781	7.61001143435472e-05	0.00666093429404162	1.49856414053695	TRUE	TRUE	TRUE	TRUE	up
LZTS3	0.2262522	0.22345364	0.100107794068754	0.370724086463451	1	0.000999000999000999	0.010683437	0.0126510092688221	FALSE	TRUE	TRUE	0.2262522	TRUE	0.223901494719161	0.0106834329608108	4.42330399484189	7.8334922354423e-05	0.00675997280655704	1.46935735732931	TRUE	TRUE	TRUE	TRUE	up
PKIB	-0.39364296	-0.39134625	-0.564293342828751	-0.214489276707172	1	0.000999000999000999	0.047947392	0.0126510092688221	FALSE	TRUE	TRUE	0.39364296	TRUE	-0.389483127209366	0.0479473884378378	-4.38484768074467	8.70197922102762e-05	0.00720500360638327	1.36924669648253	TRUE	TRUE	TRUE	TRUE	down
PDLIM1	-0.32614437	-0.3235847	-0.479129031300545	-0.146904887631536	1	0.000999000999000999	0.054924957	0.0126510092688221	FALSE	TRUE	TRUE	0.32614437	FALSE	-0.327684297797563	0.0549249563648649	-4.3849808712496	8.69843621454737e-05	0.00720500360638327	1.36962748645242	TRUE	TRUE	TRUE	TRUE	down
SLC22A5	-0.20874028	-0.2097213	-0.298901449143887	-0.0999833120033145	0.999	0.002	0.021860868	0.015846696449565	FALSE	TRUE	TRUE	0.20874028	FALSE	-0.205698505871393	0.0218608707297297	-4.38497427113388	8.69861175118006e-05	0.00720500360638327	1.36960861672267	TRUE	TRUE	TRUE	TRUE	down
SLC20A1	-0.33945513	-0.34242228	-0.454172207415104	-0.218614167720079	1	0.000999000999000999	0.04685424	0.0126510092688221	FALSE	TRUE	TRUE	0.33945513	FALSE	-0.334700580299988	0.0468542412378378	-4.36123969670953	9.35286481788805e-05	0.00754013193936843	1.30180739467218	TRUE	TRUE	TRUE	TRUE	down
CPNE7	0.24887317	0.24068215	0.111828747019172	0.425646281987429	1	0.000999000999000999	0.002298354	0.0126510092688221	FALSE	TRUE	TRUE	0.24887317	TRUE	0.249989209378285	0.00229835553243244	4.37036494402781	9.34094952642472e-05	0.00754013193936843	1.30684953946305	TRUE	TRUE	TRUE	TRUE	up
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1	0.000999000999000999	0.10194124	0.0126510092688221	FALSE	TRUE	TRUE	0.6020564	TRUE	-0.587513971649726	0.101941226612162	-4.30980534986874	0.000109406674536313	0.00774047728272408	1.15526992453918	TRUE	TRUE	TRUE	TRUE	down
CAMK2N1	-0.4252074	-0.421352	-0.632793071866036	-0.177100066840649	0.999	0.002	0.0018604938	0.015846696449565	FALSE	TRUE	TRUE	0.4252074	TRUE	-0.421648038424357	0.00186049457567567	-4.32878757724862	0.000105966796822098	0.00774047728272408	1.18893121774984	TRUE	TRUE	TRUE	TRUE	down
