specimen_id	donor_id	route	cell_type	n_cells	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction	INPP5D_positive_fraction	INPP5D_mean_raw_count	TIMP1_positive_fraction	TIMP1_mean_raw_count	S100P_positive_fraction	S100P_mean_raw_count	LCN2_positive_fraction	LCN2_mean_raw_count
HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	ABS	206	0.980582524271845	0.00970873786407767	0.00485436893203883	0.0436893203883495	0.058252427184466	0.106796116504854	0.131067961165049	0.0728155339805825	0.0922330097087379	0.383495145631068	0.922330097087379	0.412621359223301	0.786407766990291
HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	GOB	493	0.959432048681542	0.0405679513184584	0.0283975659229209	0.0649087221095335	0.129817444219067	0.253549695740365	0.328600405679513	0.249492900608519	0.334685598377282	0.821501014198783	3.38742393509128	0.233265720081136	0.734279918864097
HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	TAC	182	0.818681318681319	0.0384615384615385	0.043956043956044	0.0769230769230769	0.148351648351648	0.351648351648352	0.489010989010989	0.313186813186813	0.450549450549451	0.725274725274725	2.57692307692308	0.472527472527473	1.24725274725275
HTA11_3410_2000002021	HTA11_3410	normal	ABS	1263	1	0.0372129849564529	0.0332541567695962	0.0673000791765637	0.133016627078385	0.0213776722090261	0.0221694378463975	0.0332541567695962	0.0387965162311956	0.0348376880443389	0.0451306413301663	0.368962787015044	0.639746634996041
HTA11_3410_2000002021	HTA11_3410	normal	GOB	342	0.997076023391813	0.0263157894736842	0.0263157894736842	0.0584795321637427	0.111111111111111	0.0087719298245614	0.0087719298245614	0.0233918128654971	0.0233918128654971	0.0964912280701754	0.172514619883041	0.0584795321637427	0.0672514619883041
HTA11_3410_2000002021	HTA11_3410	normal	TAC	269	0.996282527881041	0.0483271375464684	0.0297397769516729	0.0892193308550186	0.156133828996283	0.0223048327137546	0.0260223048327138	0.0483271375464684	0.0483271375464684	0.033457249070632	0.033457249070632	0.364312267657993	0.557620817843866
HTA11_347_2000001011	HTA11_347	conventional_adenoma	ABS	1427	0.997196916608269	0.0378416257883672	0.0175192711983181	0.0826909600560617	0.132445690259285	0.02312543798178	0.0238262088297127	0.0623686054660126	0.0784863349684653	0.154870357393132	0.22354590049054	0.530483531885074	1.39243167484233
HTA11_347_2000001011	HTA11_347	conventional_adenoma	GOB	42	1	0.142857142857143	0	0.0952380952380952	0.238095238095238	0.0238095238095238	0.0238095238095238	0.0714285714285714	0.0714285714285714	0.214285714285714	0.833333333333333	0.238095238095238	0.571428571428571
HTA11_347_2000001011	HTA11_347	conventional_adenoma	TAC	91	1	0.0659340659340659	0.0879120879120879	0.164835164835165	0.252747252747253	0.032967032967033	0.032967032967033	0.0989010989010989	0.0989010989010989	0.10989010989011	0.131868131868132	0.604395604395604	1.79120879120879
HTA11_377_2000001011	HTA11_377	normal	ABS	544	0.994485294117647	0.0330882352941176	0.0110294117647059	0.0477941176470588	0.0919117647058824	0.00735294117647059	0.00735294117647059	0.123161764705882	0.172794117647059	0.242647058823529	0.648897058823529	0.115808823529412	0.159926470588235
HTA11_377_2000001011	HTA11_377	normal	GOB	120	1	0.0416666666666667	0.00833333333333333	0.0333333333333333	0.075	0	0	0.175	0.25	0.666666666666667	3	0	0
HTA11_377_2000001011	HTA11_377	normal	TAC	26	1	0	0	0	0	0	0	0.0384615384615385	0.0384615384615385	0.115384615384615	0.115384615384615	0.0384615384615385	0.0384615384615385
HTA11_392_3000012011	HTA11_392	normal	ABS	479	0.997912317327766	0.0375782881002088	0.0271398747390397	0.0751565762004175	0.139874739039666	0.0250521920668058	0.0271398747390397	0.00626304801670146	0.00626304801670146	0.0187891440501044	0.0208768267223382	0.187891440501044	0.275574112734864
HTA11_392_3000012011	HTA11_392	normal	GOB	87	1	0.0689655172413793	0.0344827586206897	0.137931034482759	0.241379310344828	0.0459770114942529	0.0459770114942529	0.0459770114942529	0.0574712643678161	0.126436781609195	0.298850574712644	0.0114942528735632	0.0114942528735632
HTA11_392_3000012011	HTA11_392	normal	TAC	79	1	0.0506329113924051	0.0379746835443038	0.0759493670886076	0.164556962025316	0	0	0.0126582278481013	0.0126582278481013	0.0126582278481013	0.0126582278481013	0.0886075949367089	0.113924050632911
