gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
TBX3	up	0.28070207358651	0.0063635465034481	0.999	0.115428022108972	0.466702666133642	6926	protein-coding	O	TBX3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
GHITM	down	-0.333348576614422	0.0064797926385671	1.0	-0.48781968280673	-0.162882485613227	27069	protein-coding	O	GHITM	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SEMA3F	up	0.25146417029576	0.0066609342940416	0.999	0.10728108920157	0.397370084375143	6405	protein-coding	O	SEMA3F	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
LZTS3	up	0.223901494719161	0.006759972806557	1.0	0.100107794068754	0.370724086463451	9762	protein-coding	O	LZTS3	current_ncbi_symbol	True	False	False	False	False	True	2	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
PKIB	down	-0.389483127209366	0.0072050036063832	1.0	-0.564293342828751	-0.214489276707172	5570	protein-coding	O	PKIB	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
PDLIM1	down	-0.327684297797563	0.0072050036063832	1.0	-0.479129031300545	-0.146904887631536	9124	protein-coding	O	PDLIM1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC22A5	down	-0.205698505871393	0.0072050036063832	0.999	-0.298901449143887	-0.0999833120033145	6584	protein-coding	O	SLC22A5	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SLC20A1	down	-0.334700580299988	0.0075401319393684	1.0	-0.454172207415104	-0.218614167720079	6574	protein-coding	O	SLC20A1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
CPNE7	up	0.249989209378285	0.0075401319393684	1.0	0.111828747019172	0.425646281987429	27132	protein-coding	O	CPNE7	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
PCK1	down	-0.587513971649726	0.007740477282724	1.0	-0.907538415491581	-0.243793984875083	5105	protein-coding	O	PCK1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CAMK2N1	down	-0.421648038424357	0.007740477282724	0.999	-0.632793071866036	-0.177100066840649	55450	protein-coding	O	CAMK2N1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
L1TD1	up	0.408028971744596	0.007740477282724	1.0	0.198340591788292	0.651724049448967	54596	protein-coding	O	L1TD1	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CHP1	down	-0.366829783605116	0.007740477282724	1.0	-0.533819998800755	-0.192811618745327	11261	protein-coding	O	CHP1	current_ncbi_symbol	True	False	True	True	True	True	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
TRIP6	up	0.319026949971336	0.007740477282724	0.999	0.138439942523837	0.522360616922379	7205	protein-coding	O	TRIP6	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
ATP5PD	down	-0.250187890845069	0.007740477282724	1.0	-0.355374282598495	-0.122788473591208	10476	protein-coding	O	ATP5PD	current_ncbi_symbol	False	False	False	False	False	False	0	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
AK2	down	-0.217875744321425	0.007740477282724	1.0	-0.301343566924334	-0.110268826782703	204	protein-coding	O	AK2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
DBNDD2	down	-0.186302199654351	0.007740477282724	1.0	-0.26907617226243	-0.0869319016113877	55861	protein-coding	O	DBNDD2	current_ncbi_symbol	False	True	True	True	True	False	4	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
CBX6	down	-0.155350069967994	0.007740477282724	1.0	-0.21406860910356	-0.0976241769269109	23466	protein-coding	O	CBX6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
ANKRD13B	up	0.083571703482962	0.007740477282724	1.0	0.0312113798689097	0.132503469660878	124930	protein-coding	O	ANKRD13B	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
