analysis	outcome	term	n_observations	n_clusters	cluster_unit	coef	se_cluster	ci_low	ci_high	p_value	r_squared	q_value_within_outcome
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Qian_2020_Cell_Res	670	398	donor_id	-0.3280775797957015	0.0645177300006777	-0.454916690326092	-0.201238469265311	5.675654240199095e-07	0.4381256108967351	1.891884746733032e-06
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Sathe_2023_Clin_Cancer_Res	670	398	donor_id	-0.1425542742199279	0.1748841711039537	-0.4863691094355668	0.2012605609957109	0.4154835591194595	0.4381256108967351	0.4748383532793824
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Smillie_2019_Cell	670	398	donor_id	-0.2593174568069938	0.0479326631054802	-0.353551031881444	-0.1650838817325437	1.0914926725252585e-07	0.4381256108967351	4.851078544556704e-07
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Tian_2023_Nat_Med	670	398	donor_id	-0.5032761382316995	0.0775534700488317	-0.6557429587388028	-0.3508093177245961	2.571996550790851e-10	0.4381256108967351	3.429328734387801e-09
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Uhlitz_2021_EMBO_Mol_Med	670	398	donor_id	-0.2001074923799496	0.0553104943255888	-0.3088455695438579	-0.0913694152160413	0.0003353501773151	0.4381256108967351	0.0008383754432878
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Wang_2020_J_Exp_Med	670	398	donor_id	-0.1377136646911464	0.0661251215257718	-0.2677128385299464	-0.0077144908523463	0.0379252876068011	0.4381256108967351	0.0505670501424015
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Wang_2021_Adv_Sci	670	398	donor_id	-0.1587886174544666	0.0573664935745017	-0.2715687016136693	-0.0460085332952639	0.0059048338351798	0.4381256108967351	0.0102692762350954
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Wang_2023_Sci_Adv	670	398	donor_id	0.1251640166188153	0.1332355442567439	-0.1367713912819328	0.3870994245195635	0.3480868065745057	0.4381256108967351	0.4095138900876537
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Yang_2023_Front_Oncol	670	398	donor_id	-0.2196445925230547	0.0529309969558348	-0.3237046791580676	-0.1155845058880418	4.076592608478589e-05	0.4381256108967351	0.000108709136226
CRC Atlas donor-carrier transfer	wnt_stem	study_id_Zheng_2022_Signal_Transduct_Target_Ther	670	398	donor_id	0.0405064292362186	0.0935192473622171	-0.143348429773399	0.2243612882458363	0.66515215649543	0.4381256108967351	0.7058420954621913
CRC Atlas donor-carrier transfer	wnt_stem	score__proliferation_control	670	398	donor_id	0.1926150154327527	0.0793513780082837	0.0366135844179641	0.3486164464475413	0.0156527648222615	0.4381256108967351	0.0231892812181651
CRC Atlas donor-carrier transfer	wnt_stem	log10_n_cells_sampled	670	398	donor_id	0.0060126827579597	0.0314109984315425	-0.0557400029283855	0.0677653684443049	0.8482946759223331	0.4381256108967351	0.8482946759223331
