gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
ENSG00000228028	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000228086	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000228160	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000228391	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000228625	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000229382	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000229679	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000230423	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000230790	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000230815	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000230826	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000231613	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000233145	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000233417	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000233866	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000234203	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000234692	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000234758	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000234967	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000234979	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000235035	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000235038	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000235403	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000235584	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000236332	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000236372	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000236387	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
ENSG00000236394	2.0954758e-08	2.1313294e-08	7.042826688508085e-09	3.490117528315295e-08	0.999	0.002	-0.003919655	0.015846696449565	True	True	False	2.0954758e-08	False
