gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm	core	selected12
RAB25	-0.03951016	-0.037168466	-0.142978674545884	0.0761255024001002	0.766	0.468	0.004618149	0.7333828125	FALSE	FALSE	FALSE	0.03951016	FALSE	-0.0490525125738537	0.00461815366351351	-0.814912514782277	0.420224017975853	0.723843845414127	-5.99170250836121	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
RBM45	-0.02118781	-0.022068229	-0.0665695432573557	0.0269778086803853	0.805	0.39	0.0010613885	0.66267749092376	FALSE	FALSE	FALSE	0.02118781	FALSE	-0.0225990046379784	0.00106138657297297	-0.814294281402904	0.420546941297531	0.723993006274227	-5.99222305017138	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
LINC02191	-0.014347181	-0.0134267695	-0.0486905234865844	0.0125337870791554	0.836	0.328	0.005452046	0.600768779215132	FALSE	FALSE	FALSE	0.014347181	FALSE	-0.0154365433204285	0.00545204496351351	-0.814315934889528	0.420474657760164	0.723993006274227	-5.99227098280252	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
ARHGEF18-AS1	-0.011748636	-0.011451212	-0.0374256732873619	0.00771758834598586	0.856	0.288	0.0030364604	0.559367377521614	FALSE	FALSE	FALSE	0.011748636	FALSE	-0.0120263316037432	0.00303646091891892	-0.813834987050745	0.420746819347334	0.724133641050875	-5.99265310298656	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
GRAP2	-0.040243838	-0.041096717	-0.156218342855573	0.0768997566774487	0.775	0.45	0.0029589974	0.717351814182317	FALSE	FALSE	FALSE	0.040243838	FALSE	-0.0426585795863175	0.00295899876756757	-0.813368220407849	0.421097680611291	0.72417548329712	-5.99292973510536	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
POMGNT2	0.019661585	0.018751016	-0.0275819486472756	0.0693780694156885	0.785	0.43	0.009335885	0.700311246435648	FALSE	FALSE	FALSE	0.019661585	FALSE	0.0167729915789375	0.00933588438243243	0.813287202832166	0.421056933603524	0.72417548329712	-5.99308806027648	TRUE	FALSE	FALSE	FALSE	up	FALSE	FALSE
LINC01922	-0.008437632	-0.008317973	-0.0252912934403867	0.00863630992826074	0.832	0.336	0.0011404868	0.608247542304593	FALSE	FALSE	FALSE	0.008437632	FALSE	-0.00896168620866273	0.0011404862972973	-0.813165743620575	0.421125713560901	0.72417548329712	-5.99318446429268	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
RGS11	-0.02325175	-0.02331272	-0.077527779713273	0.0187646014615893	0.829	0.342	0.0051479097	0.613996590303676	FALSE	FALSE	FALSE	0.02325175	FALSE	-0.0214411832607518	0.00514791028432432	-0.812611808492563	0.421439482988564	0.724511703779723	-5.99362395478509	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
RN7SL371P	-0.018966528	-0.018207833	-0.0554546902887523	-5.82678470806286e-08	1	0.000999000999000999	0.005932393	0.0126510092688221	FALSE	TRUE	TRUE	0.018966528	FALSE	-0.0170910006094057	0.00593239303918919	-0.812226689949066	0.42165771240844	0.72456048560159	-5.9939293363575	TRUE	FALSE	TRUE	FALSE	down	FALSE	FALSE
SCAANT1	-0.009678247	-0.008847686	-0.0321398860774934	0.0157478322274983	0.767	0.466	0.0025530115	0.731507336842596	FALSE	FALSE	FALSE	0.009678247	FALSE	-0.0101708722743918	0.0025530114072973	-0.812144362322252	0.421704372719972	0.72456048560159	-5.99399460031174	TRUE	FALSE	FALSE	FALSE	down	FALSE	FALSE
