gene	module	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	protein_accessions	n_samples	n_detected	pxd017269_detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates	pxd046999_detected	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	directionally_concordant_pxd002137
ABLIM2	M06	1	True	6	16	0.75	1.0	9.240357770345092	11.126328727805152	1.88597095746006	1.3934493070215253	0.8229166666666666	79.0	0.021336764370820098	1.8437270606442242	-0.4539843320862218	4.14143845337467	0.11578548403681287	0.08004327797035134	0.2888523326377354	True	D6RAL0;F5GYR0;Q6H8Q1;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-4;Q6H8Q1-5;Q6H8Q1-6;Q6H8Q1-7;Q6H8Q1-8;Q6H8Q1-9	118	30	0.2542372881355932	11.87797975540165	0.14627199806971836	0.2876716464466217	False	False	False	False	False
ARL6IP1	M05	-1	True	8	15	1.0	0.9375	16.500483794965334	15.258607288121674	-1.24187650684366	-0.3823501873635882	0.30833333333333335	37.0	0.1492757702207157	-0.6384264495229193	-3.231027791547432	1.9541748925015936	0.6293514446390405	0.3105898832646362	0.8064905764184556	False		118	0	0.0				False	False	False	False	False
RAB11FIP3	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
SMTN	M02	1	True	8	16	1.0	1.0	12.049323488838137	11.50960456590606	-0.539718922932078	-0.8615788748550053	0.3125	40.0	0.15312364457606076	-0.8325226420874877	-1.9434811559708831	0.27843587179590756	0.1419020567508974	0.3105898832646362	0.33292801200455147	True	A0A087X1R1;P53814;P53814-5;P53814-6	118	118	1.0	14.8289198875427	0.4205057132908453	0.57660777754676	True	False	False	False	False
CYCS	M04	-1	True	8	16	1.0	1.0	20.04821988715298	20.33190981656336	0.28368992941037874	0.8780567701034463	0.71875	92.0	0.09260188369085934	0.3385021638959804	-0.35177042693711347	1.0287747547290742	0.3364792656745612	0.21839440669743887	0.5686999586607471	True	C9JFR7;P99999	118	118	1.0	19.33508968353275	0.6114334503066032	0.738590124667804	True	False	False	False	False
MYL12A	M04	-1	False	0	0	0.0	0.0														True	J3QRS3;O14950;P19105	118	118	1.0	19.777040481567397	0.13224943578653178	0.27061003683684554	True	False	False	False	False
TTYH3	M02	1	True	1	10	0.125	0.625	10.43142448983832	11.20911090936962	0.7776864195312996		0.7	7.0	0.7272727272727273					0.8579158381955083		False		118	0	0.0				False	False	False	False	False
DTWD2	M04	-1	True	8	8	1.0	0.5	12.070616310215966	11.22917805741372	-0.8414382528022468	-1.3161823894709173	0.140625	9.0	0.014763014763014764	-1.5204915994597232	-3.0333682670489948	-0.007614931870451924	0.04885793837660539	0.0613261598110083	0.1603020606352085	False		118	0	0.0				False	False	False	False	True
COX6C	M04	-1	True	8	16	1.0	1.0	21.809884356906345	21.251296160141308	-0.5585881967650366	-0.7175340722623147	0.3359375	43.0	0.2143932255656579	-0.47968112539352004	-1.3204987619074204	0.3611365111203805	0.2635042097411717	0.3892680530413988	0.49523955209004794	True	P09669	118	118	1.0	18.7335548400879	0.007672255547654914	0.04169587899261632	False	False	False	False	False
ATP5PO	M04	-1	True	8	16	1.0	1.0	19.89569087626944	19.934247374282013	0.03855649801257144	0.16187025095927393	0.609375	78.0	0.4166500106734323	0.1513434524461994	-0.2824907238235872	0.585177628715986	0.49414236438118164	0.6006917331794883	0.7093612064849694	False		118	0	0.0				False	False	False	False	False
FH	M04	-1	True	8	16	1.0	1.0	19.07751871260905	18.873673355990938	-0.20384535661811043	-0.6142170606079367	0.3359375	43.0	0.2143932255656579	-0.26840798457730575	-0.613537514620631	0.0767215454660195	0.12744171634777804	0.3892680530413988	0.30978668273471993	True	P07954;P07954-2	118	118	1.0	18.30095958709715	0.007272816952911604	0.04041404557755193	True	False	False	False	False
IFITM2	M02	1	True	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
HS3ST4	M09	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
PLOD1	M02	1	True	8	16	1.0	1.0	10.848584068823815	10.80788688406599	-0.0406971847578248	0.1828690873048177	0.515625	66.0	0.928439054701001	0.2184810830689619	-1.9533529812732848	2.3903151474112088	0.8436964765761864	0.9777735243169952	0.9279033574295411	True	Q02809;Q02809-2	118	116	0.9830508474576272	15.75831031799315	0.00011871921709972658	0.002403216151861608	True	False	False	False	False
DUT	M09	-1	True	8	16	1.0	1.0	15.132946951376272	15.797447916450817	0.664500965074545	1.0971706865858035	0.703125	90.0	0.12004008315759561	1.9005876362707328	-0.43748772419764137	4.238662996739107	0.11110941780866694	0.26311250738740144	0.2813074058041425	True	P33316	118	118	1.0	16.16141510009765	0.03196703875188544	0.1073395590318049	True	False	False	False	False
AGAP3	M02	1	True	6	16	0.75	1.0	7.2391794726900685	9.149258978839708	1.9100795061496392	1.2932598122206436	0.8541666666666666	82.0	0.010400332381756531	1.1712487301243035	-0.48994613404228127	2.832443594290888	0.16700238112137122	0.047256959138636895	0.36870187809038896	True	Q96P47;Q96P47-2;Q96P47-4	118	117	0.9915254237288136	13.0463304519653	0.26535886837968864	0.4218407777005214	False	False	False	False	False
NDUFAB1	M04	-1	True	8	16	1.0	1.0	16.647980450587326	16.71220497093296	0.06422452034563264	0.018187074061241013	0.5703125	73.0	0.6100933959326744	0.15353748687668128	-0.6824492602406518	0.9895242339940145	0.7188715406234909	0.7678681226543607	0.8593439086238772	True	O14561	118	87	0.7372881355932204	13.1524496078491	0.760750237565285	0.848805580023629	False	False	False	False	False
CCND3	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
LINC-PINT	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
CHD3	M02	1	True	6	16	0.75	1.0	8.60323733202059	8.398285937676716	-0.20495139434387433	-0.05619013061503764	0.53125	51.0	0.8577325667108949	-0.610520760597022	-2.4497218125562457	1.2286802913622017	0.515299640471415	0.9406467148262814	0.7265772249254892	False		118	0	0.0				False	False	False	False	False
EPHB3	M02	1	True	7	16	0.875	1.0	8.707581507762734	14.75301653061016	6.0454350228474265	2.7343289258742227	0.9642857142857143	108.0	9.78964500299808e-05	5.312659849414426	2.8909770959773358	7.734342602851516	1.7099358181655597e-05	0.0017018811217931308	0.00033230946319185177	True	P54753	118	116	0.9830508474576272	15.81361484527585	0.6527208140059506	0.7714315752621689	True	False	False	False	True
