group_id	donor_id	carrier_group	study_id	n_cells_sampled	M02	M03	M04	M05	M06	M09	M10
Li_2023_Cancer_Cell.P30__tumor_cancer	Li_2023_Cancer_Cell.P30	tumor_cancer	Li_2023_Cancer_Cell	68	-0.03836886460614877	-0.15922320395313194	-0.22086078396146078	-0.45817906359920596	-0.20424292449486622	-0.5050950460876084	-0.4688047100049922
Li_2023_Cancer_Cell.P30__normal_epithelial	Li_2023_Cancer_Cell.P30	normal_epithelial	Li_2023_Cancer_Cell	17	-0.07050074796081582	-0.3407480405385885	0.010842035505352126	0.14169352379719516	-0.2906531372100113	0.11374649293716876	0.06896751924639567
Li_2023_Cancer_Cell.P30__tumor_epithelial	Li_2023_Cancer_Cell.P30	tumor_epithelial	Li_2023_Cancer_Cell	7	-0.3260808850069063	-0.16157736786385177	0.2809134946578809	-0.12385620704484293	-0.26845920052042216	-0.1123502601204917	-0.14362672735200302
Li_2023_Cancer_Cell.P31__tumor_cancer	Li_2023_Cancer_Cell.P31	tumor_cancer	Li_2023_Cancer_Cell	352	0.23231759034368438	-0.0359783269836509	-0.33784188111127933	-0.4882229605545684	-0.014074608114984566	-0.6444034063249646	-0.4354312168340442
Li_2023_Cancer_Cell.P31__normal_epithelial	Li_2023_Cancer_Cell.P31	normal_epithelial	Li_2023_Cancer_Cell	3	-0.08395859714378419	-0.2245194295014947	-0.1323852656329093	-0.08443669443350983	-0.07532416576224649	0.08640079700054791	-0.09278935354500885
Li_2023_Cancer_Cell.P31__tumor_epithelial	Li_2023_Cancer_Cell.P31	tumor_epithelial	Li_2023_Cancer_Cell	6	-0.17615870145718918	-0.08010590388732393	0.09320226575657245	-0.11449459418595573	-0.11695202575325919	-0.08456643281922295	-0.3258761555567573
Li_2023_Cancer_Cell.P32__tumor_cancer	Li_2023_Cancer_Cell.P32	tumor_cancer	Li_2023_Cancer_Cell	62	-0.023440131396558223	-0.15923958729046975	-0.15877789617913163	-0.3700101691192271	-0.15683461620010947	-0.44151544388177244	-0.4435039927018742
Li_2023_Cancer_Cell.P32__tumor_epithelial	Li_2023_Cancer_Cell.P32	tumor_epithelial	Li_2023_Cancer_Cell	40	-0.14708180173091837	-0.17920142556716054	0.13971612447161527	-0.05373276877015529	-0.17495647227939423	-0.0807775785159359	0.0309384423806582
Li_2023_Cancer_Cell.P32__normal_epithelial	Li_2023_Cancer_Cell.P32	normal_epithelial	Li_2023_Cancer_Cell	20	-0.06910057526006474	-0.21294289526990504	-0.06947107828182203	-0.2337888712033133	-0.20302795160249598	-0.34480089344998	-0.296849816318731
Li_2023_Cancer_Cell.P33__tumor_cancer	Li_2023_Cancer_Cell.P33	tumor_cancer	Li_2023_Cancer_Cell	109	-0.021023002497608093	-0.1468776185608736	-0.20225391971983858	-0.4074362975980794	-0.1820055969977727	-0.3245829437538578	-0.45457074952504767
Li_2023_Cancer_Cell.P33__tumor_epithelial	Li_2023_Cancer_Cell.P33	tumor_epithelial	Li_2023_Cancer_Cell	7	-0.20386923831883735	-0.054776928724188864	0.07349321016720459	-0.208628233839254	-0.20567921100438896	-0.34784209716815095	0.03571097060329139
Liu_2024_Cancer_Res.Pt01__tumor_cancer	Liu_2024_Cancer_Res.Pt01	tumor_cancer	Liu_2024_Cancer_Res	90	0.4269102543271925	0.2068812182173379	-0.5076896751665037	-0.7097932664067895	0.3223980705198729	-0.6644114382853564	-0.3822787737089871
Liu_2024_Cancer_Res.Pt01__metastasis_cancer	Liu_2024_Cancer_Res.Pt01	metastasis_cancer	Liu_2024_Cancer_Res	412	0.44151548482703673	0.20359420499746117	-0.3445938416081555	-0.4439529656864918	0.37006825045538044	-0.45553889055085317	-0.0935253210862623
Liu_2024_Cancer_Res.Pt01__metastasis_epithelial	Liu_2024_Cancer_Res.Pt01	metastasis_epithelial	Liu_2024_Cancer_Res	3	0.0025975360371530603	0.30571533134272133	0.3439397620375098	0.2637996093768156	0.23601560889817874	0.1551615871789441	0.5630479796711755
Liu_2024_Cancer_Res.Pt02__tumor_cancer	Liu_2024_Cancer_Res.Pt02	tumor_cancer	Liu_2024_Cancer_Res	55	0.667260359618008	0.31663861477244515	-0.7510580691830504	-0.953822751042038	0.43150942415116017	-1.0284914589971994	-0.6031931461878303
Liu_2024_Cancer_Res.Pt02__metastasis_cancer	Liu_2024_Cancer_Res.Pt02	metastasis_cancer	Liu_2024_Cancer_Res	344	0.6602931952619668	0.12347134750109524	-0.8075732704547981	-0.8876460665352932	0.2161726826672992	-1.0434173333917809	-0.5845609231111265
Liu_2024_Cancer_Res.Pt03__tumor_cancer	Liu_2024_Cancer_Res.Pt03	tumor_cancer	Liu_2024_Cancer_Res	91	0.5385257959665534	0.2664282997826722	-0.7348479312509468	-0.9312859926783431	0.3338424633573954	-0.7941464803944817	-0.5285848468118177
Liu_2024_Cancer_Res.Pt03__metastasis_cancer	Liu_2024_Cancer_Res.Pt03	metastasis_cancer	Liu_2024_Cancer_Res	354	0.42577411777613905	0.03105068370501359	-0.7166432387288614	-0.7852986634586041	0.01719971803557699	-0.9654042309732838	-0.6058888762708078
Liu_2024_Cancer_Res.Pt04__tumor_cancer	Liu_2024_Cancer_Res.Pt04	tumor_cancer	Liu_2024_Cancer_Res	21	0.6442912652463377	0.1781737642512815	-0.6695019318070716	-0.6266791950386095	0.43795751183183534	-0.7176658153823442	-0.4746701934668358
Liu_2024_Cancer_Res.Pt04__metastasis_cancer	Liu_2024_Cancer_Res.Pt04	metastasis_cancer	Liu_2024_Cancer_Res	435	0.40137609020127996	-0.004593080946946205	-0.2281833802698549	-0.12692010214072963	0.3229254109989565	-0.18314513682783606	-0.019838394779250663
Liu_2024_Cancer_Res.Pt05__tumor_cancer	Liu_2024_Cancer_Res.Pt05	tumor_cancer	Liu_2024_Cancer_Res	42	0.8095834875953213	0.21242682598079268	-0.8770812921136822	-1.0530263356508966	0.3509352122146268	-1.3519744615443279	-0.5966806597888537
Liu_2024_Cancer_Res.Pt05__metastasis_cancer	Liu_2024_Cancer_Res.Pt05	metastasis_cancer	Liu_2024_Cancer_Res	52	0.20018833828790258	-0.17244315671855898	-0.30340806844191626	-0.3888911183103378	-0.1114760961338811	-0.7298505556499648	-0.08956389345210124
Liu_2024_Cancer_Res.Pt06__tumor_cancer	Liu_2024_Cancer_Res.Pt06	tumor_cancer	Liu_2024_Cancer_Res	29	0.44860150785240643	0.33732766296891936	-0.3626646308409496	-0.5628148046517285	0.517551048739511	-0.6972022506491077	-0.2774988731414937
Liu_2024_Cancer_Res.Pt06__metastasis_cancer	Liu_2024_Cancer_Res.Pt06	metastasis_cancer	Liu_2024_Cancer_Res	176	0.4766519516980998	0.12264711383443888	-0.365002393806342	-0.34972602694475163	0.4259941632301418	-0.290270560762521	-0.20254889896507586
Liu_2024_Cancer_Res.Pt07__tumor_cancer	Liu_2024_Cancer_Res.Pt07	tumor_cancer	Liu_2024_Cancer_Res	23	0.19691316438135184	0.030321865630436283	-0.2306124288465027	-0.3118404229668251	0.0344488224497904	-0.3983097708633017	-0.06972359858993893
