gene	platform	feature_present	eligibility_information
GTF2I	GSE8671	False	feature availability only
ARF6	GSE8671	False	feature availability only
CCDC149	GSE8671	False	feature availability only
ACAA2	GSE8671	True	feature availability only
ATG3	GSE8671	False	feature availability only
TPM3	GSE8671	False	feature availability only
TSPAN13	GSE8671	False	feature availability only
MPLKIP	GSE8671	False	feature availability only
SCUBE2	GSE8671	False	feature availability only
CATSPERB	GSE8671	False	feature availability only
DLEU1	GSE8671	False	feature availability only
UQCRC2	GSE8671	False	feature availability only
NDUFA5	GSE8671	False	feature availability only
AP1S3	GSE8671	False	feature availability only
CAT	GSE8671	False	feature availability only
GMDS	GSE8671	False	feature availability only
EIF3B	GSE8671	False	feature availability only
LDLRAD4	GSE8671	False	feature availability only
SRSF2	GSE8671	False	feature availability only
DMPK	GSE8671	False	feature availability only
RAI1	GSE8671	False	feature availability only
CDC25B	GSE8671	False	feature availability only
APBB2	GSE8671	False	feature availability only
CREBBP	GSE8671	False	feature availability only
RPS13	GSE8671	False	feature availability only
CLTC	GSE8671	False	feature availability only
NOL4L	GSE8671	False	feature availability only
SEPTIN8	GSE8671	False	feature availability only
TMEM14C	GSE8671	False	feature availability only
BBLN	GSE8671	False	feature availability only
ATP5MK	GSE8671	False	feature availability only
BCL10	GSE8671	False	feature availability only
UAP1	GSE8671	False	feature availability only
TMC5	GSE8671	False	feature availability only
PGAP4	GSE8671	False	feature availability only
MARK4	GSE8671	False	feature availability only
CDKL5	GSE8671	False	feature availability only
VDAC2	GSE8671	False	feature availability only
CHMP5	GSE8671	False	feature availability only
FAM120A	GSE8671	False	feature availability only
EIF4EBP2	GSE8671	False	feature availability only
CD164	GSE8671	False	feature availability only
STAT3	GSE8671	False	feature availability only
GGCT	GSE8671	False	feature availability only
RCAN3	GSE8671	False	feature availability only
UNK	GSE8671	False	feature availability only
SATB2-AS1	GSE8671	False	feature availability only
CS	GSE8671	False	feature availability only
ABRACL	GSE8671	False	feature availability only
MFN2	GSE8671	False	feature availability only
DSTN	GSE8671	False	feature availability only
SPINT2	GSE8671	False	feature availability only
BEX3	GSE8671	False	feature availability only
LARP1	GSE8671	False	feature availability only
HINT3	GSE8671	False	feature availability only
GNG10	GSE8671	False	feature availability only
RNF103	GSE8671	False	feature availability only
C17orf58	GSE8671	False	feature availability only
CMC2	GSE8671	False	feature availability only
YWHAE	GSE8671	False	feature availability only
TMTC2	GSE8671	False	feature availability only
SETD5	GSE8671	False	feature availability only
BSPRY	GSE8671	False	feature availability only
MRPS33	GSE8671	False	feature availability only
CRTC3	GSE8671	False	feature availability only
TNFRSF10A	GSE8671	False	feature availability only
UNG	GSE8671	False	feature availability only
CTNND1	GSE8671	False	feature availability only
PTPN14	GSE8671	False	feature availability only
PPIF	GSE8671	False	feature availability only
BANF1	GSE8671	False	feature availability only
RANGAP1	GSE8671	False	feature availability only
PATJ	GSE8671	False	feature availability only
YWHAB	GSE8671	False	feature availability only
PML	GSE8671	False	feature availability only
KLHL18	GSE8671	False	feature availability only
MDH1	GSE8671	False	feature availability only
TMEM30B	GSE8671	False	feature availability only
NFAT5	GSE8671	False	feature availability only
STARD3	GSE8671	False	feature availability only
FUCA1	GSE8671	False	feature availability only
HDAC4	GSE8671	False	feature availability only
ADIPOR1	GSE8671	False	feature availability only
PCSK6	GSE8671	False	feature availability only
CA7	GSE8671	False	feature availability only
PUS7	GSE8671	False	feature availability only
PTPRG	GSE8671	False	feature availability only
LRP5L	GSE8671	False	feature availability only
ACTB	GSE8671	False	feature availability only
TTC22	GSE8671	False	feature availability only
RTRAF	GSE8671	False	feature availability only
CHCHD2	GSE8671	False	feature availability only
ACADM	GSE8671	False	feature availability only
CDC42	GSE8671	False	feature availability only
S100A11	GSE8671	False	feature availability only
ALS2CL	GSE8671	False	feature availability only
NDE1	GSE8671	False	feature availability only
ERN1	GSE8671	False	feature availability only
SDHC	GSE8671	False	feature availability only
CREB3L2	GSE8671	False	feature availability only
NDUFC1	GSE8671	False	feature availability only
WTAP	GSE8671	False	feature availability only
CYP2J2	GSE8671	False	feature availability only
PDE3A	GSE8671	False	feature availability only
SLC12A2	GSE8671	False	feature availability only
MAT2B	GSE8671	False	feature availability only
CDK2AP2	GSE8671	False	feature availability only
H1-0	GSE8671	False	feature availability only
PFN2	GSE8671	False	feature availability only
LAMB1	GSE8671	False	feature availability only
TMEM126B	GSE8671	False	feature availability only
HSD17B2	GSE8671	False	feature availability only
DYNLT1	GSE8671	False	feature availability only
GABRB1	GSE8671	False	feature availability only
C5orf15	GSE8671	False	feature availability only
TSPYL1	GSE8671	False	feature availability only
ALDH9A1	GSE8671	False	feature availability only
HIGD1A	GSE8671	False	feature availability only
USP40	GSE8671	False	feature availability only
MAPKBP1	GSE8671	False	feature availability only
API5	GSE8671	False	feature availability only
ALDH3B1	GSE8671	False	feature availability only
C6orf132	GSE8671	False	feature availability only
SBDS	GSE8671	False	feature availability only
FBXO16	GSE8671	False	feature availability only
RALGDS	GSE8671	False	feature availability only
FGGY	GSE8671	False	feature availability only
ACSS2	GSE8671	False	feature availability only
NPAS2	GSE8671	False	feature availability only
ACTG1	GSE8671	False	feature availability only
SOWAHC	GSE8671	False	feature availability only
NORAD	GSE8671	False	feature availability only
FOXD2	GSE8671	False	feature availability only
LRG1	GSE8671	False	feature availability only
TYW1	GSE8671	False	feature availability only
ACE	GSE8671	False	feature availability only
EPB41L3	GSE8671	False	feature availability only
RPS24	GSE8671	False	feature availability only
TMEM170A	GSE8671	False	feature availability only
RAB1A	GSE8671	False	feature availability only
NUDCD3	GSE8671	False	feature availability only
DLG5	GSE8671	False	feature availability only
SGMS1	GSE8671	False	feature availability only
SH3GLB1	GSE8671	False	feature availability only
B3GALNT2	GSE8671	False	feature availability only
TMEM184B	GSE8671	False	feature availability only
ADH5	GSE8671	False	feature availability only
MAP3K20	GSE8671	False	feature availability only
TP53INP2	GSE8671	False	feature availability only
SC5D	GSE8671	False	feature availability only
GNAS	GSE8671	False	feature availability only
H2AZ2	GSE8671	False	feature availability only
CBX5	GSE8671	False	feature availability only
CAPG	GSE8671	False	feature availability only
SUMO3	GSE8671	False	feature availability only
SAMD5	GSE8671	False	feature availability only
PCNA	GSE8671	True	feature availability only
MMADHC	GSE8671	False	feature availability only
SEPHS2	GSE8671	False	feature availability only
LSM3	GSE8671	False	feature availability only
RAD51B	GSE8671	False	feature availability only
BOLA3	GSE8671	False	feature availability only
SOX4	GSE8671	True	feature availability only
THEM4	GSE8671	False	feature availability only
ARHGAP8	GSE8671	False	feature availability only
NLRC5	GSE8671	False	feature availability only
HNRNPAB	GSE8671	False	feature availability only
TBCD	GSE8671	False	feature availability only
CCDC57	GSE8671	False	feature availability only
RETNLB	GSE8671	False	feature availability only
EPB41L4B	GSE8671	False	feature availability only
ATP6AP2	GSE8671	False	feature availability only
NDUFB3	GSE8671	False	feature availability only
PDCD11	GSE8671	False	feature availability only
TPK1	GSE8671	False	feature availability only
ETFDH	GSE8671	False	feature availability only
SSR3	GSE8671	False	feature availability only
HDDC2	GSE8671	False	feature availability only
FUT8	GSE8671	False	feature availability only
CNNM4	GSE8671	False	feature availability only
FAM193B	GSE8671	False	feature availability only
MKRN1	GSE8671	False	feature availability only
SH3D19	GSE8671	False	feature availability only
TCF20	GSE8671	False	feature availability only
BPNT2	GSE8671	False	feature availability only
MAPK1IP1L	GSE8671	False	feature availability only
LTBP1	GSE8671	True	feature availability only
ACTN1	GSE8671	False	feature availability only
DDAH1	GSE8671	False	feature availability only
CYC1	GSE8671	False	feature availability only
PLEKHA2	GSE8671	False	feature availability only
MYORG	GSE8671	False	feature availability only
ACTR10	GSE8671	False	feature availability only
SEMA6A	GSE8671	False	feature availability only
ISCA2	GSE8671	False	feature availability only
MRPL35	GSE8671	False	feature availability only
NOL7	GSE8671	False	feature availability only
CHD4	GSE8671	False	feature availability only
SRP19	GSE8671	False	feature availability only
PPP6R1	GSE8671	False	feature availability only
OLFM4	GSE8671	True	feature availability only
FBXO3	GSE8671	False	feature availability only
LIN7C	GSE8671	False	feature availability only
SEMA4D	GSE8671	False	feature availability only
PHYH	GSE8671	False	feature availability only
ATP5F1E	GSE8671	False	feature availability only
