module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M09	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	-1.0365926181655163	-1	-1.0365926181655163
M10	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	DLD1	-0.08838325569104212	-1	-0.08838325569104212
M10	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	HT29	-0.38320123086401703	-1	-0.38320123086401703
M10	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	L8	0.047044323519699165	-1	0.047044323519699165
M10	GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	SIBC	0.09959402499626745	-1	0.09959402499626745
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	0.14245109713292256	1	-0.14245109713292256
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.5055929706849085	1	0.5055929706849085
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.7086366604645508	1	0.7086366604645508
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	-0.4433858856077661	1	0.4433858856077661
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.28586367450045	1	0.28586367450045
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.722643756924348	1	0.722643756924348
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	0.612789443811681	-1	0.612789443811681
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.15255979043991832	-1	-0.15255979043991832
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.37048405036304466	-1	-0.37048405036304466
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	0.4901424412968625	-1	0.4901424412968625
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.29421493193315706	-1	-0.29421493193315706
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.6415987480858735	-1	-0.6415987480858735
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	-0.4036881987488599	1	0.4036881987488599
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.22923761491589206	1	0.22923761491589206
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.3295074834871047	1	0.3295074834871047
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	0.11754177966948365	-1	0.11754177966948365
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.9599711175329146	-1	-0.9599711175329146
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-1.3190912962093266	-1	-1.3190912962093266
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor1	0.6495246077176491	-1	0.6495246077176491
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor2	-0.11666112891489772	-1	-0.11666112891489772
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	Donor3	-0.4359134141119457	-1	-0.4359134141119457
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	-0.13414713266139935	1	0.13414713266139935
