rank	enrichment_score	hit	pathway
343	-0.0426669983828834	FALSE	Oxidative Phosphorylation
344	-0.0427913919641746	FALSE	Oxidative Phosphorylation
345	-0.0429157855454659	FALSE	Oxidative Phosphorylation
346	-0.0430401791267571	FALSE	Oxidative Phosphorylation
347	-0.0431645727080483	FALSE	Oxidative Phosphorylation
348	-0.0432889662893395	FALSE	Oxidative Phosphorylation
349	-0.0434133598706307	FALSE	Oxidative Phosphorylation
350	-0.0435377534519219	FALSE	Oxidative Phosphorylation
351	-0.0436621470332131	FALSE	Oxidative Phosphorylation
352	-0.0437865406145043	FALSE	Oxidative Phosphorylation
353	-0.0439109341957955	FALSE	Oxidative Phosphorylation
354	-0.0440353277770867	FALSE	Oxidative Phosphorylation
355	-0.0441597213583779	FALSE	Oxidative Phosphorylation
356	-0.0442841149396691	FALSE	Oxidative Phosphorylation
357	-0.0444085085209603	FALSE	Oxidative Phosphorylation
358	-0.0445329021022515	FALSE	Oxidative Phosphorylation
359	-0.0446572956835427	FALSE	Oxidative Phosphorylation
360	-0.0447816892648339	FALSE	Oxidative Phosphorylation
361	-0.0449060828461251	FALSE	Oxidative Phosphorylation
362	-0.0450304764274163	FALSE	Oxidative Phosphorylation
363	-0.0451548700087075	FALSE	Oxidative Phosphorylation
364	-0.0452792635899988	FALSE	Oxidative Phosphorylation
365	-0.04540365717129	FALSE	Oxidative Phosphorylation
366	-0.0455280507525812	FALSE	Oxidative Phosphorylation
367	-0.0456524443338724	FALSE	Oxidative Phosphorylation
368	-0.0457768379151636	FALSE	Oxidative Phosphorylation
369	-0.0459012314964548	FALSE	Oxidative Phosphorylation
370	-0.046025625077746	FALSE	Oxidative Phosphorylation
371	-0.0461500186590372	FALSE	Oxidative Phosphorylation
372	-0.0462744122403284	FALSE	Oxidative Phosphorylation
373	-0.0463988058216196	FALSE	Oxidative Phosphorylation
374	-0.0465231994029108	FALSE	Oxidative Phosphorylation
375	-0.046647592984202	FALSE	Oxidative Phosphorylation
376	-0.0467719865654932	FALSE	Oxidative Phosphorylation
377	-0.0468963801467844	FALSE	Oxidative Phosphorylation
378	-0.0470207737280756	FALSE	Oxidative Phosphorylation
379	-0.0471451673093668	FALSE	Oxidative Phosphorylation
380	-0.047269560890658	FALSE	Oxidative Phosphorylation
381	-0.0473939544719492	FALSE	Oxidative Phosphorylation
382	-0.0475183480532404	FALSE	Oxidative Phosphorylation
383	-0.0476427416345317	FALSE	Oxidative Phosphorylation
384	-0.0477671352158229	FALSE	Oxidative Phosphorylation
385	-0.0478915287971141	FALSE	Oxidative Phosphorylation
386	-0.0480159223784053	FALSE	Oxidative Phosphorylation
387	-0.0481403159596965	FALSE	Oxidative Phosphorylation
388	-0.0482647095409877	FALSE	Oxidative Phosphorylation
389	-0.0483891031222789	FALSE	Oxidative Phosphorylation
390	-0.0485134967035701	FALSE	Oxidative Phosphorylation
391	-0.0486378902848613	FALSE	Oxidative Phosphorylation
392	-0.0487622838661525	FALSE	Oxidative Phosphorylation
393	-0.0488866774474437	FALSE	Oxidative Phosphorylation
394	-0.0490110710287349	FALSE	Oxidative Phosphorylation
395	-0.0491354646100261	FALSE	Oxidative Phosphorylation
396	-0.0492598581913173	FALSE	Oxidative Phosphorylation
397	-0.0493842517726085	FALSE	Oxidative Phosphorylation
398	-0.0495086453538997	FALSE	Oxidative Phosphorylation
399	-0.0496330389351909	FALSE	Oxidative Phosphorylation
400	-0.0497574325164821	FALSE	Oxidative Phosphorylation
401	-0.0498818260977734	FALSE	Oxidative Phosphorylation
402	-0.0500062196790646	FALSE	Oxidative Phosphorylation
