dataset	score	state_set	comparison	cell_type	cell_type_label	proportion_a	proportion_b	mean_score_a	mean_score_b	composition_contribution	composition_ci_low	composition_ci_high	within_state_contribution	within_state_ci_low	within_state_ci_high
validation	signature_12	all_states	conventional_vs_normal	ABS	Absorptive	0.3347348236629174	0.6013080846294603	0.10222879553542498	-0.4868984351136363	0.05127132010859426	-0.0038282770134466363	0.08484521065047294	0.27572418316549085	0.16056520714943617	0.40535684243553033
validation	signature_12	all_states	conventional_vs_normal	GOB	Goblet	0.16976561537163365	0.1292977791202151	0.7658768171321785	0.06514623541613859	0.01681485240583965	-0.006719328813715465	0.04396182454182261	0.10478143319612333	0.07478509727831069	0.1351533647996141
validation	signature_12	all_states	conventional_vs_normal	ASC	Neoplastic	0.34735953352798127	0.004905847557856509	1.724309676736319	1.0310072734262499	0.4717842227995671	0.27170294155026664	0.6705697016018688	0.12211321765487436	0.05442027148050343	0.20374297767181157
validation	signature_12	all_states	conventional_vs_normal	TAC	Transit-amplifying	0.08769924402872661	0.13495243794011252	0.8995951185282708	0.17234995390500618	-0.025326414185022128	-0.04500690668296602	-0.008263332872796193	0.08096117955353758	0.05568555912479028	0.10916885502637957
validation	signature_12	all_states	conventional_vs_normal	SSC	Abnormal	0.007742843982345347	0.0003421168520136384	0.3066453644118382	-0.1515519025575079	0.0005739021954412042	-0.001740087081976911	0.002364801776289193	0.0018522534789287455	-0.0003123431120118335	0.005119621147553569
validation	signature_12	all_states	conventional_vs_normal	STM	Crypt stem	0.023785505234553604	0.06999830214741343	0.43098553734603146	0.11886549298420378	-0.012705076998488943	-0.02979066543794842	-0.004202595651559513	0.014635903060240327	0.0024753124372942402	0.035075204801319565
validation	signature_12	all_states	conventional_vs_normal	CT	Other colonic epithelium	0.013799128826693614	0.03554703029081891	0.028899222831496988	-0.03632741233761486	8.077376671795056e-05	-0.00987599967263274	0.001980770111373911	0.0016093419588774662	-0.0036928882561099424	0.01164054464398114
validation	signature_12	all_states	conventional_vs_normal	TUF	Tuft	0.009013505381563579	0.013506645803986634	1.5616709372194764	0.7362695784550771	-0.005162484709650507	-0.013488204530016947	0.002889413644543016	0.009294081694066422	0.004828785460071059	0.014288392920304115
validation	signature_12	all_states	conventional_vs_normal	EE	Enteroendocrine	0.0060997999835849205	0.01014175565812301	0.8773699199472194	0.7600762368951727	-0.0033092423926998466	-0.007974167732993191	0.00038554441488540043	0.0009525159398553354	-0.0003179492886681676	0.0028918971517123125
validation	signature_12	all_states	conventional_vs_serrated	ABS	Absorptive	0.3347348236629174	0.5247264945217853	0.10222879553542501	-0.3229600344183299	0.020968548443055506	-0.028990344721814238	0.052097698607015214	0.1827166761347328	0.06397570564450467	0.32433300573529067
