experiment	gene	pair_number_within_experiment	pair_id	normal_channel	adenoma_channel	normal_log2_ratio_vs_114	adenoma_log2_ratio_vs_114	adenoma_minus_normal_log2	n_unique_peptides_normal	n_unique_peptides_adenoma	passes_author_batch_qc
5	MYL6	2	Exp05_Pair2	117	118	0.10299399332332565	-1.23033571312553	-1.3333297064488556	7	7	False
5	MYL6	3	Exp05_Pair3	119	121	-1.5353317329965557	-1.8211260418302049	-0.2857943088336492	7	7	False
5	NDRG1	1	Exp05_Pair1	115	116	-0.8934035404241144	0.10686503018973229	1.0002685706138468	8	8	False
5	NDRG1	2	Exp05_Pair2	117	118	0.02929731609656748	-1.391383591630289	-1.4206809077268565	8	8	False
5	NDRG1	3	Exp05_Pair3	119	121	-1.3120429726098148	-1.603736388888192	-0.2916934162783771	8	8	False
5	OLFM4	1	Exp05_Pair1	115	116	0.39606427156211943	1.6283767655736614	1.232312494011542	8	8	False
5	OLFM4	2	Exp05_Pair2	117	118	0.3846240230292432	0.15768920924958635	-0.22693481377965685	8	8	False
5	OLFM4	3	Exp05_Pair3	119	121	-0.043943347587597055	-0.39545426163436476	-0.3515109140467677	7	7	False
5	PRDX6	1	Exp05_Pair1	115	116	-1.1287329878808379	-0.40075292318045835	0.7279800647003796	13	13	False
5	PRDX6	2	Exp05_Pair2	117	118	0.09491164702546696	-1.562962723775407	-1.6578743708008739	13	13	False
5	PRDX6	3	Exp05_Pair3	119	121	-1.7980891073151244	-2.0291463456595165	-0.23105723834439207	13	13	False
5	REG1A	1	Exp05_Pair1	115	116	0.6495214914776896	0.7424165695360312	0.09289507805834163	2	2	False
5	REG1A	2	Exp05_Pair2	117	118	0.4441618005098384	0.629469278389836	0.18530747787999763	2	2	False
5	REG1A	3	Exp05_Pair3	119	121	0.17166411156709083	-0.06729394992122367	-0.2389580614883145	2	2	False
5	SLC25A5	1	Exp05_Pair1	115	116	-0.6408603117135195	0.15302861105212665	0.7938889227656462	14	14	False
5	SLC25A5	2	Exp05_Pair2	117	118	0.40400791039166145	-1.0284020399787055	-1.432409950370367	14	14	False
5	SLC25A5	3	Exp05_Pair3	119	121	-1.250721312633943	-1.4685991074038491	-0.2178777947699062	14	14	False
5	SLC26A2	1	Exp05_Pair1	115	116	-1.1270483599980265	-0.6079756690456006	0.5190726909524259	2	2	False
5	SLC26A2	2	Exp05_Pair2	117	118	0.7628263243347913	-1.7930364524439584	-2.5558627767787496	2	2	False
5	SLC26A2	3	Exp05_Pair3	119	121	-1.4448417713288246	-2.1933205732739465	-0.7484788019451218	2	2	False
5	SORD	1	Exp05_Pair1	115	116	-0.9876341277407875	0.16052822190876748	1.148162349649555	8	8	False
5	SORD	2	Exp05_Pair2	117	118	-0.30768330008003975	-1.0853528553301617	-0.7776695552501219	8	8	False
5	SORD	3	Exp05_Pair3	119	121	-1.240788896879315	-1.6907205430541605	-0.4499316461748455	8	8	False
5	SRI	1	Exp05_Pair1	115	116	-1.6574452545226799	-0.8262329322632936	0.8312123222593862	5	5	False
5	SRI	2	Exp05_Pair2	117	118	-0.2927027380494547	-1.7001697142013352	-1.4074669761518805	5	5	False
5	SRI	3	Exp05_Pair3	119	121	-1.8262329322632938	-2.1844245711374275	-0.35819163887413374	5	5	False
5	TPT1	1	Exp05_Pair1	115	116	-0.2657466780567812	0.15191449144936237	0.41766116950614357	4	4	False
5	TPT1	2	Exp05_Pair2	117	118	0.20763005330260323	-0.4994891145499686	-0.7071191678525718	4	4	False
5	TPT1	3	Exp05_Pair3	119	121	-0.9576112153601544	-1.2452540222897102	-0.2876428069295558	4	4	False
5	TRIP6	1	Exp05_Pair1	115	116	-1.0474632101491625	-0.21037130059731124	0.8370919095518513	1	1	False
5	TRIP6	2	Exp05_Pair2	117	118	-0.4862078055119314	-1.3193179381816913	-0.8331101326697599	1	1	False
5	TRIP6	3	Exp05_Pair3	119	121	-1.4395320991011333	-1.963037797432727	-0.5235056983315938	1	1	False
5	TST	1	Exp05_Pair1	115	116	-0.777179019467811	0.17632277264046287	0.9535017921082738	11	11	False
5	TST	2	Exp05_Pair2	117	118	0.34482849699744117	-1.0115879742752119	-1.356416471272653	11	11	False
5	TST	3	Exp05_Pair3	119	121	-1.3219280948873622	-1.5691795034802285	-0.24725140859286632	11	11	False
6	ACAA2	1	Exp06_Pair1	115	116	-0.7848123977944662	0.9841112548209884	1.7689236526154546	15	16	True
6	ACAA2	2	Exp06_Pair2	117	118	-1.6170561304310094	0.3737375606416379	1.9907936910726471	15	16	True
6	ACAA2	3	Exp06_Pair3	119	121	-0.41119543298444966	1.0309708546358953	1.442166287620345	15	15	True
6	B2M	1	Exp06_Pair1	115	116	-0.8059129478836977	0.7849227015628613	1.590835649446559	1	1	True
6	B2M	2	Exp06_Pair2	117	118	-2.6803820657998387	-0.5063526660247898	2.174029399775049	1	1	True
6	B2M	3	Exp06_Pair3	119	121	-0.7297700927620023	0.005759269288684953	0.7355293620506873	1	1	True
6	BSG	1	Exp06_Pair1	115	116	-0.6553164221384693	0.6144859771378985	1.2698023992763678	4	4	True
6	BSG	2	Exp06_Pair2	117	118	-1.0549595673868988	0.4507252160484151	1.505684783435314	4	4	True
6	BSG	3	Exp06_Pair3	119	121	-0.04999844721633895	1.1941023471654753	1.244100794381814	4	4	True
6	CALM1	1	Exp06_Pair1	115	116	-0.3219280948873623	1.3286379071909282	1.6505660020782904	7	8	True
6	CALM1	2	Exp06_Pair2	117	118	-1.7407747306613295	-0.1095778808421557	1.6311968498191738	6	8	True
6	CALM1	3	Exp06_Pair3	119	121	-0.8601732211896606	0.7561693281392987	1.6163425493289592	8	7	True
6	CD9	1	Exp06_Pair1	115	116	-0.8390798118188968	0.45206823022381093	1.2911480420427077	1	1	True
6	CD9	2	Exp06_Pair2	117	118	-2.0528949484321255	-0.24127043154213734	1.8116245168899883	1	1	True
6	CD9	3	Exp06_Pair3	119	121	-0.3940316411585416	0.5430008774024255	0.9370325185609671	1	1	True
6	COX5A	1	Exp06_Pair1	115	116	-0.7661119398257227	0.6401188779519255	1.4062308177776481	3	3	True
6	COX5A	2	Exp06_Pair2	117	118	-0.4016347946763554	-0.05595979672287177	0.3456749979534836	3	3	True
6	COX5A	3	Exp06_Pair3	119	121	0.33913738491958534	0.6590166682803278	0.31987928336074245	3	3	True
6	COX6A1	2	Exp06_Pair2	117	118	-0.2986727425870594	-0.6826959316380852	-0.3840231890510258	1	1	True
6	COX6A1	3	Exp06_Pair3	119	121	0.3961594890731545	0.23756371831767567	-0.15859577075547884	1	1	True
6	COX6C	1	Exp06_Pair1	115	116	-0.2585190820045261	-0.06554206412362462	0.1929770178809015	2	2	True
6	COX6C	2	Exp06_Pair2	117	118	0.33432099776355784	0.0839923575713502	-0.25032864019220763	2	2	True
6	COX6C	3	Exp06_Pair3	119	121	0.9113512076534341	0.7616680626230006	-0.14968314503043356	2	2	True
6	DAB2	1	Exp06_Pair1	115	116	-0.6038405109268454	0.607862902831235	1.2117034137580804	3	3	True
6	DAB2	2	Exp06_Pair2	117	118	-0.7661119398257227	0.09895848008816877	0.8650704199138914	3	3	True
6	DAB2	3	Exp06_Pair3	119	121	0.10567807789453719	0.40816837070810624	0.30249029281356904	3	3	True
6	DHRS11	1	Exp06_Pair1	115	116	-0.27753397552890896	0.002882508533121365	0.28041648406203035	3	3	True
6	DHRS11	2	Exp06_Pair2	117	118	0.4636224568518934	-0.15360697914763968	-0.6172294359995331	3	3	True
6	DHRS11	3	Exp06_Pair3	119	121	0.4946716116475496	0.7154541271157177	0.22078251546816807	3	3	True
6	EPCAM	1	Exp06_Pair1	115	116	-0.306760055701883	0.9026375591943759	1.2093976148962589	5	5	True
6	EPCAM	2	Exp06_Pair2	117	118	-1.0115879742752119	0.4379966175676109	1.4495845918428227	5	4	True
6	EPCAM	3	Exp06_Pair3	119	121	0.8155754288625725	0.464684847315371	-0.3508905815472015	5	4	True
6	ETHE1	1	Exp06_Pair1	115	116	-0.0694518807521452	0.13838172139026697	0.20783360214241217	7	7	True
6	ETHE1	2	Exp06_Pair2	117	118	-0.4646061342466856	0.05286920619602478	0.5174753404427104	7	7	True
6	ETHE1	3	Exp06_Pair3	119	121	0.5465799489171412	0.39867710116064453	-0.1479028477564967	7	7	True
6	FABP1	1	Exp06_Pair1	115	116	-0.5756153284619034	-0.2593463954413834	0.31626893302052006	11	11	True
6	FABP1	2	Exp06_Pair2	117	118	-0.9434164716336325	0.733788168625182	1.6772046402588145	11	11	True
6	FABP1	3	Exp06_Pair3	119	121	0.15962918582122781	0.5704629310260412	0.41083374520481336	11	11	True
6	HMGCS2	1	Exp06_Pair1	115	116	-0.9040395235594951	0.7320520733002891	1.6360915968597842	18	19	True
