gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
FABP1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P07148	58	33
FABP1	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	A8MW49	2	2
FCGRT	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P55899	1	1
FCGRT	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P55899	2	2
FCGRT	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P55899	3	2
GUCA2A	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	Q02747	1	1
HMGCS2	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P54868	30	25
HMGCS2	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P54868	29	27
HMGCS2	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P54868	33	23
HMGCS2	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P54868	44	29
HMGCS2	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P54868	44	21
HMGCS2	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P54868	37	31
HMGCS2	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	F5H8J6;P54868	22	22
HMGCS2	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P54868	23	20
HMGCS2	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P54868	30	25
HMGCS2	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P54868	20	17
HMGCS2	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	B7Z8R3	8	8
HSPA1A	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	E7EP11;E7EQL7;P08107	66	45
HSPA1A	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P08107	59	39
HSPA1A	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P08107	65	46
HSPA1A	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P08107	75	50
HSPA1A	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P08107	80	40
HSPA1A	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	E7EP94;F5H1D3;P08107	67	50
HSPA1A	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	F5H1D3;P08107	62	41
HSPA1A	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	E7EP94;E7EQL7;P08107	55	42
HSPA1A	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P08107	63	48
HSPA1A	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	E7EP11;E7EP94;F5H1D3;P08107	66	49
HSPA1A	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	E7EP94;F5H1D3;P08107	70	53
IFITM3	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	Q01628	3	2
IFITM3	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	Q01628	4	1
IGFBP2	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P18065	2	1
IGFBP2	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	C9JW52;P18065	3	3
IGFBP2	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P18065	5	4
IGFBP2	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P18065	3	2
IGFBP2	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P18065	2	2
IGFBP2	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P18065	2	1
IGFBP2	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P18065	2	2
IGFBP2	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P18065	1	1
IGFBP2	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P18065	1	1
