x	y	xend	yend
342	0.973133249990344	343	0.973133249990344
349	0	349	0.959016438743709
350	0	350	0.959016438743709
349	0.959016438743709	350	0.959016438743709
348	0	348	0.965149425293584
349.5	0.959016438743709	349.5	0.965149425293584
348	0.965149425293584	349.5	0.965149425293584
347	0	347	0.973779171471428
348.75	0.965149425293584	348.75	0.973779171471428
347	0.973779171471428	348.75	0.973779171471428
354	0	354	0.965151932447191
355	0	355	0.965151932447191
354	0.965151932447191	355	0.965151932447191
356	0	356	0.957363869896398
357	0	357	0.957363869896398
356	0.957363869896398	357	0.957363869896398
361	0	361	0.951247058208549
362	0	362	0.951247058208549
361	0.951247058208549	362	0.951247058208549
360	0	360	0.960635514101608
361.5	0.951247058208549	361.5	0.960635514101608
360	0.960635514101608	361.5	0.960635514101608
359	0	359	0.964737322235077
360.75	0.960635514101608	360.75	0.964737322235077
359	0.964737322235077	360.75	0.964737322235077
358	0	358	0.969070742520669
359.875	0.964737322235077	359.875	0.969070742520669
358	0.969070742520669	359.875	0.969070742520669
356.5	0.957363869896398	356.5	0.973971839490851
358.9375	0.969070742520669	358.9375	0.973971839490851
356.5	0.973971839490851	358.9375	0.973971839490851
366	0	366	0.92702354869463
367	0	367	0.92702354869463
366	0.92702354869463	367	0.92702354869463
365	0	365	0.962077455496972
366.5	0.92702354869463	366.5	0.962077455496972
365	0.962077455496972	366.5	0.962077455496972
364	0	364	0.967861331457277
365.75	0.962077455496972	365.75	0.967861331457277
364	0.967861331457277	365.75	0.967861331457277
370	0	370	0.95273869001663
371	0	371	0.95273869001663
370	0.95273869001663	371	0.95273869001663
369	0	369	0.960227214293547
370.5	0.95273869001663	370.5	0.960227214293547
369	0.960227214293547	370.5	0.960227214293547
368	0	368	0.972210921375619
369.75	0.960227214293547	369.75	0.972210921375619
368	0.972210921375619	369.75	0.972210921375619
376	0	376	0.934690307030093
377	0	377	0.934690307030093
376	0.934690307030093	377	0.934690307030093
375	0	375	0.947800180615211
376.5	0.934690307030093	376.5	0.947800180615211
375	0.947800180615211	376.5	0.947800180615211
374	0	374	0.958728789490597
375.75	0.947800180615211	375.75	0.958728789490597
374	0.958728789490597	375.75	0.958728789490597
373	0	373	0.965018337693358
374.875	0.958728789490597	374.875	0.965018337693358
373	0.965018337693358	374.875	0.965018337693358
379	0	379	0.966033910319113
380	0	380	0.966033910319113
379	0.966033910319113	380	0.966033910319113
383	0	383	0.953022056723651
384	0	384	0.953022056723651
383	0.953022056723651	384	0.953022056723651
382	0	382	0.962557457894758
383.5	0.953022056723651	383.5	0.962557457894758
382	0.962557457894758	383.5	0.962557457894758
381	0	381	0.970711042587668
382.75	0.962557457894758	382.75	0.970711042587668
381	0.970711042587668	382.75	0.970711042587668
385	0	385	0.965103233619143
386	0	386	0.965103233619143
385	0.965103233619143	386	0.965103233619143
389	0	389	0.952854929873989
390	0	390	0.952854929873989
389	0.952854929873989	390	0.952854929873989
391	0	391	0.968127262378158
392	0	392	0.968127262378158
391	0.968127262378158	392	0.968127262378158
393	0	393	0.952714298606267
394	0	394	0.952714298606267
393	0.952714298606267	394	0.952714298606267
395	0	395	0.955786658382505
396	0	396	0.955786658382505
395	0.955786658382505	396	0.955786658382505
393.5	0.952714298606267	393.5	0.960519921573122
395.5	0.955786658382505	395.5	0.960519921573122
393.5	0.960519921573122	395.5	0.960519921573122
398	0	398	0.95981640709912
399	0	399	0.95981640709912
398	0.95981640709912	399	0.95981640709912
401	0	401	0.930191220835396
402	0	402	0.930191220835396
401	0.930191220835396	402	0.930191220835396
400	0	400	0.953812605214395
401.5	0.930191220835396	401.5	0.953812605214395
400	0.953812605214395	401.5	0.953812605214395
405	0	405	0.943251252136101
406	0	406	0.943251252136101
