gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
ZSWIM5	0.247657877307246	3.29704726185958	up	1	1	1	1	0.230952348988079	0.266652531679535	0.316472342994482	1
VDAC3	-0.306980260450961	-3.29615194551036	down	1	1	1	1	-0.354779617333808	-0.294148942686519	-0.22778139938243	1
LUC7L	0.298934302685208	3.28921145320789	up	1	1	1	1	0.242954401968641	0.316373128539972	0.396280455537077	1
SMYD4	0.352354295329633	3.28264259925338	up	1	1	1	1	0.314350848421531	0.364576188825284	0.413294287794787	1
MUC20	0.546490351557835	3.27851621485863	up	1	1	1	1	0.326695930360913	0.415322841243094	0.518035680607121	1
SAR1B	-0.38200497229363	-3.27635091391479	down	1	1	1	1	-0.434625441332047	-0.34895291256056	-0.26941922262042	1
ITPR2	0.302214129888112	3.27463129948735	up	1	1	1	1	0.277159302932627	0.321361450587213	0.355712350930772	1
RPRD2	0.191783994458629	3.27365258392832	up	1	1	1	1	0.171725220691901	0.193134238408102	0.214467151182873	1
EIF2B1	-0.236242085014729	-3.27307414049261	down	1	1	1	1	-0.308261879233862	-0.24852983984174	-0.196755020776574	1
ILRUN	0.245017473977349	3.27016742643894	up	1	1	1	1	0.188252562965886	0.25225368621194	0.272715098501238	1
TTLL5	0.260553988285389	3.26857255175309	up	1	1	1	1	0.228069329772546	0.2701547121985	0.314530950112618	1
MYO1F	0.488379600765962	3.26798962934817	up	1	1	1	1	0.36485623343135	0.487696160743422	0.614820551400945	1
RLF	0.232506755827134	3.26711027913435	up	1	1	1	1	0.198565067021373	0.223750027326617	0.257462014300533	1
IWS1	-0.202027116633818	-3.26522509862581	down	1	1	1	1	-0.238418554598328	-0.183080176487138	-0.137369879876626	1
ENSG00000266953	-0.416194708462016	-3.26347639244837	down	1	1	1	1	-0.498049788583313	-0.398959746750345	-0.346999847091456	1
PRMT7	0.322379193460436	3.26019969172259	up	1	1	1	1	0.282670921277362	0.323516087053421	0.359813666374265	1
SENP3	0.25209485461444	3.25970049498386	up	1	1	1	1	0.182119548884828	0.227427993395841	0.284272197669657	1
MIR194-2HG	-0.354965430898731	-3.25888291164619	down	1	1	1	1	-0.532607793896251	-0.41844297816264	-0.37352077800374	1
INPP5B	0.339761728304603	3.25715466569559	up	1	1	1	1	0.296875405086866	0.335421254731043	0.425602515766687	1
TAF8	0.226107514006834	3.25470708491535	up	1	1	1	1	0.205550025524636	0.236847892719418	0.253335325467441	1
SNX7	-0.402984157236046	-3.25437280453598	down	1	1	1	1	-0.47572414623154	-0.420333045637585	-0.292862065778756	1
TYW1B	0.287052940595144	3.25404720089193	up	1	1	1	1	0.273690663219439	0.313641344887938	0.344410593520919	1
NXF1	0.272332876222542	3.25210434812939	up	1	1	1	1	0.166495140197375	0.227960504367282	0.2923815099666	1
ZNF444	0.350177769922815	3.25083763134466	up	1	1	1	1	0.197598297450293	0.352443512523559	0.455866675115887	1
VPS26C	-0.298120120941318	-3.24985306091678	down	1	1	1	1	-0.346612419263046	-0.275078678273232	-0.216192629378623	1
C2orf88	-0.365199047019962	-3.24966071625346	down	1	1	1	1	-0.44128016715905	-0.361162313680118	-0.29425331460424	1
APP	-0.214969370531075	-3.24935265601905	down	1	1	1	1	-0.282057824889781	-0.225300761817449	-0.170978848043304	1
INTS3	0.341738763201783	3.24853165342826	up	1	1	1	1	0.305673651870991	0.334798199355411	0.383811573277088	1
CADM2	-0.463855836155998	-3.24678536632681	down	1	1	1	1	-0.636489511948424	-0.510804821025648	-0.430676277147286	1
SLC12A9	0.304776111548259	3.24374094820764	up	1	1	1	1	0.242363341816597	0.318092326697695	0.377204542964534	1
ABI2	0.316147673591055	3.23998931509516	up	1	1	1	1	0.269652494646194	0.318749888752489	0.350801865567964	1
FMR1	-0.394262861487589	-3.23861115555565	down	1	1	1	1	-0.446010942757811	-0.394931800827147	-0.276917349802149	1
MAPK9	-0.202020620651942	-3.23486082858657	down	1	1	1	1	-0.22941033259868	-0.203506916865137	-0.151043503027804	1
PTPN12	0.255812410340017	3.23150284738436	up	1	1	1	1	0.245337920376365	0.292917560340076	0.330468738576082	1
ZNF398	0.265994123959406	3.23090937928193	up	1	1	1	1	0.229419407142093	0.265898608100351	0.296336851429376	1
SF3B5	-0.320722122504045	-3.23074586956851	down	1	1	1	1	-0.38728827519765	-0.319415639128121	-0.222453016313772	1
GGA3	0.265784291615774	3.23027477640523	up	1	1	1	1	0.205682204321934	0.275542700543659	0.313594133184214	1
C6orf136	-0.282000275226874	-3.22906654225127	down	1	1	1	1	-0.369034740315586	-0.3084529850973	-0.263493408842369	1
