gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
AXIN2	0.42774308	0.42650798	0.21163293458521368	0.6518554106354714	1.0	0.000999000999000999	0.03514409	0.012651009268822122	False	True	True	0.42774308	True
CAMK2N1	-0.4252074	-0.421352	-0.6327930718660355	-0.17710006684064866	0.999	0.002	0.0018604938	0.015846696449565014	False	True	True	0.4252074	True
COX5A	-0.42020017	-0.4247046	-0.5989136025309563	-0.23126557767391212	1.0	0.000999000999000999	0.108259514	0.012651009268822122	False	True	True	0.42020017	True
MSX2	0.4173779	0.4134304	0.18786572590470316	0.6841770842671392	1.0	0.000999000999000999	0.008359566	0.012651009268822122	False	True	True	0.4173779	True
HMGCS2	-0.41705114	-0.42789128	-0.6698185250163078	-0.16185005344450476	0.999	0.002	0.190459	0.015846696449565014	False	True	True	0.41705114	True
LGR5	0.41682506	0.41163814	0.2220236763358116	0.6516241267323494	1.0	0.000999000999000999	0.0065720743	0.012651009268822122	False	True	True	0.41682506	True
LINC02350	0.41378772	0.40010643	0.13733475580811502	0.800318731367588	1.0	0.000999000999000999	0.034217525	0.012651009268822122	False	True	True	0.41378772	True
L1TD1	0.41076347	0.41249266	0.19834059178829194	0.651724049448967	1.0	0.000999000999000999	0.030479878	0.012651009268822122	False	True	True	0.41076347	True
CYCS	-0.40969035	-0.40858287	-0.5621961891651154	-0.2380165606737137	1.0	0.000999000999000999	0.052710436	0.012651009268822122	False	True	True	0.40969035	True
NDRG1	-0.4067776	-0.40271592	-0.5400473490357399	-0.275909511744976	1.0	0.000999000999000999	0.044160727	0.012651009268822122	False	True	True	0.4067776	True
GDF15	0.40532106	0.40207547	0.23534928262233734	0.5925057128071785	1.0	0.000999000999000999	0.0060460777	0.012651009268822122	False	True	True	0.40532106	True
PRDX6	-0.40287	-0.40404493	-0.6281617477536201	-0.1296425685286522	0.994	0.012	0.027243879	0.06785970800469877	False	True	True	0.40287	True
COX6A1	-0.4024748	-0.40270454	-0.6308930695056916	-0.18096586205065252	1.0	0.000999000999000999	0.07436094	0.012651009268822122	False	True	True	0.4024748	True
HSPA1A	-0.40205288	-0.4048322	-0.5190704807639122	-0.28613399192690847	1.0	0.000999000999000999	0.08860319	0.012651009268822122	False	True	True	0.40205288	True
SOX4	0.39757302	0.3987538	0.23658155016601085	0.5564755171537399	1.0	0.000999000999000999	0.01562952	0.012651009268822122	False	True	True	0.39757302	True
CD9	-0.3971	-0.3981822	-0.5586507722735405	-0.23224506974220277	1.0	0.000999000999000999	0.057808194	0.012651009268822122	False	True	True	0.3971	True
LINC01819	0.3956442	0.37152636	0.07499573864042759	0.8275866776704788	1.0	0.000999000999000999	0.03235671	0.012651009268822122	False	True	True	0.3956442	True
PKIB	-0.39364296	-0.39134625	-0.5642933428287507	-0.21448927670717244	1.0	0.000999000999000999	0.047947392	0.012651009268822122	False	True	True	0.39364296	True
LINC01411	0.38985035	0.37744194	0.17200987674295903	0.6850031167268752	0.999	0.002	0.016899679	0.015846696449565014	False	True	True	0.38985035	True
